ArtistName,EditionNumber,TitleofWork,Year,PageNumberofImage,ArtistUniqueID ,ArtistNationality,ArtistGender,ArtistRace,ArtistEthnicity,HeightofWorkinGardner(cm)*,WidthofWorkinGardner(cm),LengthofText(cm),WidthofText(cm),ExtraTextLength(cm),ExtraTextWidth(cm),AreaofWorkinGardner(cm^2),AreaofText(cm^2),ExtraTextArea(cm^2),TotalAreaText(cm^2),TotalSpace(cm^2),PageArea(cm^2),SpaceRatioPerPage,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin West,9,The Death of General Wolfe,1991,843,35,American,Male,White,Not Hispanic or Latinx,10.2,14.3,14,8.4,,,145.86,117.6,0,117.6,263.46,616.5,0.4273479319,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin West,10,The Death of General Wolfe,1996,905,35,American,Male,White,Not Hispanic or Latinx,13.3,18.6,12.3,9,,,247.38,110.7,0,110.7,358.08,586.42,0.6106203745,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin West,11,The Death of General Wolfe,2001,847,35,American,Male,White,Not Hispanic or Latinx,13.3,18.6,13,9,,,247.38,117,0,117,364.38,677.44,0.5378778932,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin West,12,The Death of General Wolfe,2005,812,35,American,Male,White,Not Hispanic or Latinx,11.8,16.5,11.8,8.9,,,194.7,105.02,0,105.02,299.72,657.66,0.455737007,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin West,13,Death of General Wolfe,2009,764,35,American,Male,White,Not Hispanic or Latinx,10.7,15.1,9.6,9.3,,,161.57,89.28,0,89.28,250.85,648.93,0.3865594132,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin West,14,Death of General Wolfe,2013,743,35,American,Male,White,Not Hispanic or Latinx,11.4,16.1,10.6,9.3,,,183.54,98.58,0,98.58,282.12,648.93,0.4347464287,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin West,15,Death of General Wolfe,2016,779,35,American,Male,White,Not Hispanic or Latinx,10.3,14.3,5.4,9.2,8.4,6.8,147.29,49.68,57.12,106.8,254.09,646.7,0.3929024277,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin West,16,Death of General Wolfe,2020,787,35,American,Male,White,Not Hispanic or Latinx,10.6,14.9,11.3,9.3,,,157.94,105.09,0,105.09,263.03,651.84,0.4035192685,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernard Buffet,10,Pietà,1996,1096,36,French,Male,White,Not Hispanic or Latinx,9.3,13.6,3.5,9,,,126.48,31.5,0,31.5,157.98,586.42,0.2693973603,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berthe Morisot,10,Villa at the Seaside,1996,984,37,French,Female,White,Not Hispanic or Latinx,11.1,13.7,14,9,,,152.07,126,0,126,278.07,586.42,0.4741823267,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berthe Morisot,11,Villa at the Seaside,2001,911,37,French,Female,White,Not Hispanic or Latinx,11,13.5,11.1,9,,,148.5,99.9,0,99.9,248.4,677.44,0.3666745394,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berthe Morisot,12,Villa at the Seaside,2005,875,37,French,Female,White,Not Hispanic or Latinx,12.6,15.5,13.5,8.9,,,195.3,120.15,0,120.15,315.45,657.66,0.479655141,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berthe Morisot,13,Villa at the Seaside,2009,826,37,French,Female,White,Not Hispanic or Latinx,10.7,13.2,12.4,9.3,,,141.24,115.32,0,115.32,256.56,648.93,0.3953585132,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berthe Morisot,14,Villa at the Seaside,2013,805,37,French,Female,White,Not Hispanic or Latinx,9.6,11.8,9.4,9.3,6.3,6.9,113.28,87.42,43.47,130.89,244.17,648.93,0.3762655448,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berthe Morisot,15,Summer's Day,2016,853,37,French,Female,White,Not Hispanic or Latinx,7.2,11.9,15.5,9.2,4.2,6.7,85.68,142.6,28.14,170.74,256.42,646.7,0.3965053348,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berthe Morisot,16,Summer's Day,2020,861,37,French,Female,White,Not Hispanic or Latinx,7.3,12.1,16,9.3,4.6,6.4,88.33,148.8,29.44,178.24,266.57,651.84,0.4089500491,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boris Maluev,8,Construction Workers,1986,960,38,Russian,Male,White,Not Hispanic or Latinx,9.5,12.4,8.7,8.4,,,117.8,73.08,0,73.08,190.88,578.76,0.3298085562,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridget Riley,5,Current,1970,730,39,British,Female,White,Not Hispanic or Latinx,9,9,11.3,6.9,,,81,77.97,0,77.97,158.97,471.845,0.3369114858,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
